"plot";"variable";"value"
"as01";"cov";"97"
"as01";"tcov";"0"
"as01";"scov";"0"
"as01";"hcov";"95"
"as01";"mcov";"35"
"as01";"rock";"0"
"as01";"bare";"0"
"as01";"debris";"0"
"as01";"htl";"0"
"as01";"hsl";"0"
"as01";"hhl1";"0,45"
"as01";"hhl2";"0,3"
"as01";"expo";"S"
"as01";"slope";"35"
"as01";"plsx";"4"
"as01";"plsy";"4"
"as01";"date";"2012-08-16"
"as01";"longitude";"13.526112E"
"as01";"latitude";"47.915968N"
"as01";"altitude";"9999"
"as01";"location";"Attersee"
"as01";"syntaxon";"Junco obtusiflori-Schoenetum nigricantis Allorge 1921"
"as01";"comment";"Ausbildung mit Torfmoosen"
