plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;soil;date;altitude;precision.vertical;precision.horizontal;longitude;latitude;comment;syntaxon
fb01;99;95;0;1;1;912;15;0;1;0,1;0,2;16;16;F;0;0;0;0;;2012-09-22;559;8;5;13.529440E;48.556192N;;
fb02;98;92;0;0;1;92;16;0;0;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;552;7;5;13.528951E;48.555734N;;
fb03;99;90;0;2;30;98;22;0;2;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;530;10;5;13.528091E;48.555650N;;
fb04;99;90;7;3;50;90;28;7;4;0,1;0,3;16;16;W;5;0;0;0;;2012-09-22;545;10;5;13.527223E;48.555667N;;
fb05;98;88;10;12;75;90;30;10;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-22;531;17;9;13.526121E;48.555472N;;
fb06;98;92;0;6;70;96;30;0;4;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;547;12;6;13.526878E;48.553859N;;
fb07;99;91;20;10;65;99;30;8;4;0,1;0,3;16;16;F;0;0;0;0;;2012-09-22;537;13;10;13.528305E;48.553371N;;
fb08;99;93;35;15;55;92;30;8;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-22;539;9;5;13.527998E;48.552450N;;
fb09;98;92;0;2;7;95;15;0;3;0,1;0,3;16;16;F;0;0;0;0;;2012-09-23;539;7;5;13.525773E;48.552530N;;
fb10;98;85;25;8;70;95;30;10;4;0,1;0,4;16;16;F;0;0;0;0;;2012-09-23;562;11;8;13.525637E;48.554209N;;
fb11;95;90;28;3;50;80;30;12;4;0,1;0,3;16;16;SW;3;0;0;0;;2012-09-23;549;13;7;13.523449E;48.554049N;;
fb12;95;85;20;65;40;75;30;12;5;0,1;0,3;16;16;SW;5;0;0;0;;2012-09-23;528;11;8;13.520730E;48.554687N;;
fb13;95;92;30;15;45;65;15;8;4;0,1;0,2;16;16;SW;3;0;0;0;;2012-09-23;543;11;9;13.522613E;48.554416N;;
fb14;98;95;25;10;2;20;15;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;535;14;9;13.524433E;48.555278N;;
fb15;99;30;15;20;90;80;27;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;525;13;6;13.524962E;48.555492N;;
fb16;85;40;2;8;60;10;27;8;4;0,1;0,3;16;16;N;3;0;0;0;;2012-09-23;541;8;3;13.525445E;48.555381N;;
fb17;98;50;60;70;95;90;0;0;0;0,2;0,3;16;16;N;3;0;0;0;;2012-09-23;522;10;7;13.524756E;48.556184N;;
fb18;100;30;65;20;15;15;13;8;3;0,1;0,3;16;16;W;10;0;0;0;;2012-09-23;546;8;7;13.526641E;48.557340N;;
