"";"x"
"1";"gent clus clus"
"2";"poa alpi"
"3";"cera unif"
"4";"arab bell"
"5";"pedi aspl"
"6";"saxi andr"
"7";"gent bava"
"8";"horn alpi brev"
"9";"pedi aspl"
"10";"care fuli"
"11";"cera unif"
"12";"arab bell"
"13";"kobr simp"
"14";"saxi burs"
"15";"cham alpi"
"16";"camp sche"
"17";"care mucr"
"18";"fest pseu dura"
"19";"kobr simp"
"20";"saxi burs"
"21";"cera unif"
"22";"gent clus clus"
"23";"botr luna"
"24";"arte geni"
"25";"voit nivalis"
"26";"ento conn"
"27";"bili acce"
"28";"cata cine"
"29";"leca epib epib"
"30";"cetr eric"
"31";"flav cucu"
"32";"clad pleu"
"33";"solo bisp slat"
"34";"pelt rufe"
"35";"coll tena tena"
"36";"prim fari"
"37";"cham alpi"
"38";"saxi rudo"
"39";"flav niva"
"40";"leca epib epib"
"41";"flav cucu"
"42";"clad pleu"
"43";"solo bisp slat"
"44";"tris dist"
"45";"arte geni"
"46";"poa alpi"
"47";"myur tene"
"48";"ento conn"
"49";"orth stri"
"50";"gymn aeru"
"51";"calo ceri musc"
"52";"botr luna"
"53";"camp sche"
"54";"flav niva"
"55";"hypn cupr"
"56";"leuc alpi"
"57";"arte geni"
"58";"saxi rudo"
"59";"doro glac glac"
"60";"flav niva"
"61";"camp sche"
"62";"erig unif"
"63";"botr luna"
"64";"arte geni"
"65";"doro glac glac"
"66";"erig unif"
"67";"myur tene"
"68";"flav niva"
"69";"schi apoc"
"70";"hypn cupr"
"71";"botr luna"
"72";"myur tene"
"73";"cetr muri"
"74";"camp sche"
"75";"bisc laev laev"
"76";"phyt orbi"
"77";"flav niva"
"78";"care eric"
"79";"bisc laev laev"
"80";"care curv rose"
"81";"poa alpi"
"82";"myur tene"
"83";"pert gemi"
