plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;location;comment;altitude;latitude;longitude;accuracy;alliance;soil;bedrock
rk00;;;;;;;;;;;;;;;;;;;2014-05-06;Wiese am Weg zur Laimeralm;;;47.704092;13.498651;10;Polygono-Trisetion;;
rk01;;;;;;;;;;;;;;;;;;;2014-07-16;Tal zur Wilden Kammer;;;47.644051;13.473336;10;Fagion sylvaticae ;;
rk02;;;;;;;;;;;;;;;;;;;2014-07-16;Tal zur Wilden Kammer;;;47.635379;13.476813;10;Fagion sylvaticae ;;
rk03;;;;;;;;;;;;;;;;;;;2014-07-16;Am Rande der Wilden Kammer;;;47.634773;13.479725;10;Fagion sylvaticae ;;
rk04;;;;;;;;;;;;;;;;;;;2014-07-16;Tal zur Wilden Kammer;;;47.641553;13.473929;10;Fagion sylvaticae ;;
rk05;;;;;;;;;;;;;;;;;;;2014-07-17;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.655152;13.485170;10;Fagion sylvaticae ;;
rk06;;;;;;;;;;;;;;;;;;;2014-07-17;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.657993;13.493336;10;Fagion sylvaticae ;;
rk07;;;;;;;;;;;;;;;;;;;2014-07-18;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.663877;13.500604;10;Fagion sylvaticae ;;
rk08;;;;;;;;;;;;;;;;;;;2014-07-18;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.663422;13.497440;10;Fagion sylvaticae ;;
rk09;;;;;;;;;;;;;;;;;;;2014-07-18;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.663630;13.494368;10;Fagion sylvaticae ;;
rk10;;;;;;;;;;;;;;;;;;;2014-07-18;Südabfall des Rinnkogel zum hinteren Werkstattgraben;;;47.662074;13.492923;10;Fagion sylvaticae ;;
rk11;;;;;;;;;;;;;;;;;;;2014-07-18;Rinnstübl Jhtt.;;;47.657435;13.483622;10;Fagion sylvaticae ;;
rk12;;;;;;;;;;;;;;;;;;;2014-07-24;rechtsufrige Alluvionen des Weißenbaches;;;47.678810;13.467464;10;unclassified;;
rk13;;;;;;;;;;;;;;;;;;;2014-07-24;rechtsufrige Alluvionen des Weißenbaches;;;47.677171;13.466162;10;unclassified;;
rk14;;;;;;;;;;;;;;;;;;;2014-07-24;rechtsufrige Alluvionen des Weißenbaches;;;47.666283;13.459915;10;unclassified;;
rk15;;;;;;;;;;;;;;;;;;;2014-07-24;rechtsufrige Alluvionen des Weißenbaches;;;47.665390;13.460420;10;unclassified;;
rk16;;;;;;;;;;;;;;;;;;;2014-07-25;rechtsufrige Alluvionen der Ischl;;;47.717122;13.530607;10;unclassified;;
rk17;;;;;;;;;;;;;;;;;;;2014-07-25;rechtsufrige Alluvionen der Ischl;;;47.718465;13.520477;10;unclassified;;
rk18;;;;;;;;;;;;;;;;;;;2014-08-02;Sonntagkaralm;;;47.687041;13.505907;10;Fagion sylvaticae ;;
rk19;;;;;;;;;;;;;;;;;;;2014-08-02;Sonntagkaralm;;;47.686392;13.504252;10;Vaccinio Piceion;;
rk20;;;;;;;;;;;;;;;;;;;2014-08-07;Sonntagkaralm;rkx1;;47.686495;13.506626;10;Fagion;;
rk21;;;;;;;;;;;;;;;;;;;2014-08-07;Sonntagkaralm;rkx2;;47.685659;13.510071;10;Fagion;;
rk22;;;;;;;;;;;;;;;;;;;2014-08-07;Sonntagkaralm;rkx3;;47.684923;13.511803;10;Fagion;;
rk23;;;;;;;;;;;;;;;;;;;2014-08-07;Sonntagkaralm;rkx4;;47.682150;13.516034;10;Fagion;;
rk24;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx5;;47.655042;13.493016;10;Vaccinio Abietion;;
rk25;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx6;;47.654654;13.493218;10;Vaccinio-Abietion;;
rk26;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx7;;47.651226;13.493129;10;Fagion;;
rk27;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx8;;47.651537;13.492748;10;Vaccinio abietion;;
rk28;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx9;;47.651636;13.494743;10;Vaccinio Abietion;;
rk29;;;;;;;;;;;;;;;;;;;2014-08-08;Bärenpfadkogel;rkx10;;47.647092;13.490012;10;Vaccino Abietion;;
rk30;;;;;;;;;;;;;;;;;;;2014-08-08;Rinnkogel-Westhang;rkx11;;47.674705;13.477011;10;Vaccino Abietion;;
