Aufnahme-Nr.;952;446B;419;415;179;439;437;146A;148;158;173;187;411;412;417
Seehöhe (m);2190;2580;2180;2230;2060;2570;2190;2490;2550;2100;2255;1950;2260;2540;2370
Exposition;-;-;-;-;-;-;-;SW;-;-;S;-;S;-;W
Neigung (°);-;-;-;-;-;-;-;3;-;-;3;-;2;-;30
Flächengröße (m^2);4;4;1;0,5;1;4;1;1;4;1;0,5;4;1;0,5;0,25
Aufnahmeiahr;2007;2006;2005;2005;2005;2006;2005;2005;2005;2005;2006;2005;2005;2005;2005
Gesamtdeckung (%);30;40;20;20;80;30;70;40;50;40;60;40;70;60;30
Carex bicolor;2;3;2;2;3;2;3;2;3;2;2;2;2;3;2
KK „Caricetea bicoloris-atrofuscae“;;;;;;;;;;;;;;;
Equisetum variegatum;2;;;;1;+;+;;;;;;;;
Tofieldia pusilla;+;;;;;;;;;;;;;;
Juncus triglumis;1;+;;;1;;+;+;;;;1;;;+
Konstante Begleitarten;;;;;;;;;;;;;;;
Saxifraga aizoides;+;2;+;;;3;;;2;;+;+;1;;
Persicaria vivipara;;1;;+;;+;2;;+;;2;+;1;;
Poa alpina;;1;;+;;;;+;+;;;1;;;
Bartsia alpina;;;+;2;;;+;;;;;;+;;+
Sonstige Arten;;;;;;;;;;;;;;;
Salix retusa;+;1;;;1;;+;;+;;+;;+;;+
Salix breviserrata;;;;;;;;;;+;;;;;
Salix reticulata;;;;+;;;;;;;;;;;
Salix serpyllifolia;;;;+;;;;;;;;;;2;
Salix waldsteiniana;;;;;r;;;;;+;;;;;
Achillea moschata;;;;;;;r;;;+;+;;+;;
Trifolium pallescens;+;;;;;;;+;;;;;;;
Cerastium uniflorum;;;;;;;;;+;;;;;;
Carex parvifiora;;+;;;;;;+;;;;;1;;
Achillea atrata;;;;+;;;;;;;;;;;
Saxifraga oppositifolia;;;;+;;;;;;;;;;+;1
Arabis soyeri ssp. subcoriacea;;;;;;;;;;;+;;;;
"Festuca pumila
Agrostis rupestris";+;;;;;;;+;;+;;+;;;
Carex frigida;+;;;;3;;1;;;;;1;2;;
Parnassia palustris;;;;;+;;;;;;;1;+;;
Silene exscapa;;;;;;;+;;+;;;;;+;+
Carex bipartita;;;;;;;;1;;;;;;;
Salix herbacea;;;+;;;;;;;;;;;;
Solorina bispora ssp. bispora;;;;;;;;;;;;;;+;
Veronica alpina;;;+;;;;;;;;;;;;
Euphrasia minima;;;;;;;+;;+;;;;+;;
Artemisia mutellina;;;;;;;;+;;;;;;;
Gentiana bavarica;;1;;;;;;;;+;;;;+;
Trifolium pratense ssp. nivale;;;;;;;;;;;+;+;;;
Deschampsia cespitosa;+;;+;;;+;;;;+;;2;1;;
Leontodon helveticus;;;;;;;;+;;;;;;;
Lotus corniculatus;;;;;;;;;;+;;;;;
Ranunculus montanus;;;;;;;;;;;+;;;;
Sesleria albicans;;;;;;;+;;;;;1;;;
Ranunculus acris;;;;;;;;;;;;1;;;
Campanula scheuchzeri;;;;;;;;;;;;1;;;
Prunella vulgaris;;;;;;;;;;;;+;;;
Gypsophila repens;;;;;;;;;;;+;;;;
Veronica aphylla;;;;;;;;;;;+;;;;
Carex capillaris;;;;;;;+;;;;+;1;+;;
Oxytropis halleri;;;;;;;;;;;+;;;;
Primula farinosa;;;;;r;;;;;;;;;;
Festuca sp.;;;;;;;;;;;;2;;;
Leontodon hispidus;;;;;;;;;;;;2;;;
Carex atrata;;;;;;;;;;;;+;1;;
Achillea millefolium;;;;;;;;;;;;+;;;
Achillea fissa;;;;;;;;;;;;+;;;
Polygala alpestris;;;;;;;;;;;;+;;;
Juncus alpinoarticulatus;;;;;;;;;;;;+;;;
Trifolium badium;;;;;;;;;;;;+;;;
Tofieldia calyculata;;;;;;;;;;+;;;;;
Juricus jacquinii;;+;;;;;;;;;;+;;;
Carex firma;;;;+;;;r;;;;;;;;
Minuartia gerardii;;;;;;+;;;;;;;;;
Carex sempervirens;;;;;;;i;;;;;;;;
Pedicularis aspleniifolia;;;;;;;;;;;;;+;;
Ranunculus alpestris;;;;+;;;;;;;;;;;
Thamnolia vermicularis;;;;;;;;;;;;;;+;
Doronicum glaciale;;;;;;;;;;;;;;+;
Astragalus australis;;;;;;;+;;;;;;;;
Cratoneuron falcatum;;1;;;;;;;;;;;;;
